"ID del Tweet","Enlace permanente de Tweet","Texto del Tweet","tiempo","impresiones","interacciones","tasa de interacción","retweets","respuestas","me gusta","clics de perfil de usuario","clics en URL","clics de etiquetas","ampliaciones de detalles","clics en enlaces permanentes","Se abre la aplicación","descargas de app","seguimientos","enviar Tweet por correo electrónico","marcar teléfono","visualizaciones multimedia","interacciones con el contenido multimedia","impresiones promocionado","interacciones promocionado","tasa de interacción promocionado","retweets promocionado","respuestas promocionado","me gusta promocionado","clics de perfil de usuario promocionado","clics en URL promocionado","clics de etiquetas promocionado","ampliaciones de detalles promocionado","clics en enlaces permanentes promocionado","Se abre la aplicación promocionado","descargas de app promocionado","seguimientos promocionado","enviar Tweet por correo electrónico promocionado","marcar teléfono promocionado","visualizaciones multimedia promocionado","interacciones con el contenido multimedia promocionado"
"770879140874579968","https://twitter.com/EnriqueOnieva/status/770879140874579968","Chi-Squared Test – The Purpose, The Math, When and How to Implement? https://t.co/B0DcPTHEtY #rstats via @datascienceplus","2016-08-31 07:01 +0000","183.0","1.0","0.00546448087431694","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"770852415805480960","https://twitter.com/EnriqueOnieva/status/770852415805480960","Televisión Española, el desierto divulgativo https://t.co/dYF8Wf3gab","2016-08-31 05:15 +0000","80.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"770840456062234624","https://twitter.com/EnriqueOnieva/status/770840456062234624","Finish that PhD in 12 steps! (Storify)  https://t.co/1hSxJn65ln","2016-08-31 04:27 +0000","103.0","6.0","0.05825242718446602","0.0","0.0","1.0","0.0","5.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"770503870757933056","https://twitter.com/EnriqueOnieva/status/770503870757933056","Data Science Open Source Book https://t.co/tPGHlsj45g","2016-08-30 06:10 +0000","149.0","6.0","0.040268456375838924","1.0","0.0","2.0","0.0","3.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"768557838234972160","https://twitter.com/EnriqueOnieva/status/768557838234972160","Gamer Problems Then &amp; Now https://t.co/MzrwF5wtnh vía @martvirkus","2016-08-24 21:17 +0000","111.0","5.0","0.04504504504504504","0.0","0.0","1.0","0.0","4.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"768556910027108352","https://twitter.com/EnriqueOnieva/status/768556910027108352","Japón anuncia la creación de un centro para desarrollar aplicaciones de inteligencia artificial https://t.co/bPutY1atUp","2016-08-24 21:13 +0000","117.0","1.0","0.008547008547008548","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"768091791669202944","https://twitter.com/EnriqueOnieva/status/768091791669202944","""199. VINCENT VAN GOGH: The blank canvas"" https://t.co/0NtsnhruWj #comics","2016-08-23 14:25 +0000","186.0","3.0","0.016129032258064516","0.0","0.0","1.0","0.0","2.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"762951781798281216","https://twitter.com/EnriqueOnieva/status/762951781798281216","Consejos para desarrollar todo el potencial de Gmail https://t.co/PB7bYyLhzl vía @Geeksroom","2016-08-09 10:00 +0000","119.0","4.0","0.03361344537815126","0.0","0.0","0.0","0.0","3.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"762585483847299072","https://twitter.com/EnriqueOnieva/status/762585483847299072","Want to Change Academic Publishing? Just Say No - The Chronicle of Higher Education https://t.co/NvbEBJMYsp vía @chronicleWant","2016-08-08 09:45 +0000","134.0","5.0","0.03731343283582089","0.0","0.0","0.0","1.0","4.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"761517524060086272","https://twitter.com/EnriqueOnieva/status/761517524060086272","A (small) introduction to Boosting https://t.co/bPAoXfYoPx vía @wordpressdotcom","2016-08-05 11:01 +0000","121.0","3.0","0.024793388429752067","0.0","0.0","1.0","0.0","2.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"761502410821042176","https://twitter.com/EnriqueOnieva/status/761502410821042176","“Perhaps the most important news of our day is that datasets — not algorithms..."" Datasets Over Algorithms https://t.co/J4CRDjHvGk","2016-08-05 10:01 +0000","118.0","2.0","0.01694915254237288","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"761152273053515776","https://twitter.com/EnriqueOnieva/status/761152273053515776","""Big Data"" no atrae a ingenieros... ""New Textio tool uses machine learning to find the most effective words"" https://t.co/LLfToivruc","2016-08-04 10:50 +0000","153.0","2.0","0.013071895424836602","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"761139969633165312","https://twitter.com/EnriqueOnieva/status/761139969633165312","Standardization vs. normalization | Data Mining Research - https://t.co/mBjJEkwClx https://t.co/qu2Mm1hkpo","2016-08-04 10:01 +0000","121.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"760791124927717376","https://twitter.com/EnriqueOnieva/status/760791124927717376","Algorithms for the Traveling Salesman Problem visualized https://t.co/8aDRy5uSE3 vía @flowingdata","2016-08-03 10:55 +0000","139.0","3.0","0.02158273381294964","0.0","0.0","2.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"760777582354788352","https://twitter.com/EnriqueOnieva/status/760777582354788352","Lecciones de liderazgo de Juego de Tronos - 7 Things Game of Thrones Taught Me About Leadership https://t.co/DzXj8xyGTq vía @lifehackorg","2016-08-03 10:01 +0000","108.0","1.0","0.009259259259259259","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"760428739050307584","https://twitter.com/EnriqueOnieva/status/760428739050307584","Guía completa para la visualización de datos - “39 studies about human perception in 30 minutes” by @kennelliott https://t.co/aegaXzCnAj","2016-08-02 10:55 +0000","146.0","3.0","0.02054794520547945","0.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"760413645503393792","https://twitter.com/EnriqueOnieva/status/760413645503393792","Evolutionary Computation Bestiary by fcampelo https://t.co/n6ze3Hvg2j","2016-08-02 09:55 +0000","115.0","2.0","0.017391304347826087","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"760067948799295493","https://twitter.com/EnriqueOnieva/status/760067948799295493","The History of Data Mining - https://t.co/YaRPR6LcMW","2016-08-01 11:01 +0000","87.0","1.0","0.011494252873563218","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"760050034125733888","https://twitter.com/EnriqueOnieva/status/760050034125733888","The 7 Fundamental Steps to Complete a Data Project https://t.co/jDXPP0tXjf vía @dataiku","2016-08-01 09:50 +0000","239.0","3.0","0.012552301255230125","0.0","0.0","1.0","0.0","2.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
